n,key,year
99,a,1
72,a,2
119,a,3
135,a,4
149,a,5
119,a,6
140,a,7
137,a,8
132,a,9
130,a,10
92,a,11
125,a,12
786,a,13
1235,a,14
1327,a,15
1780,a,16
1882,a,17
2273,a,18
2214,a,19
1953,a,20
1794,a,21
2314,a,22
2539,a,23
2680,a,24
2659,a,25
2552,a,26
2361,a,27
2373,a,28
2679,a,29
2939,a,30
2932,a,31
3213,a,32
3086,a,33
2467,a,34
2321,a,35
2898,a,36
3171,a,37
3243,a,38
3370,a,39
3054,a,40
2534,a,41
2624,a,42
2817,a,43
2836,a,44
3060,a,45
2972,a,46
2916,a,47
2582,a,48
2688,a,49
2902,a,50
3011,a,51
3111,a,52
2794,a,53
2392,a,54
2254,a,55
2447,a,56
2950,a,57
3160,a,58
3358,a,59
3682,a,60
3419,a,61
3158,a,62
3422,a,63
3559,a,64
3993,a,65
4010,a,66
4131,a,67
4260,a,68
4003,a,69
4323,a,70
4299,a,71
4616,a,72
5171,a,73
5339,a,74
4958,a,75
4792,a,76
4725,a,77
4920,a,78
5215,a,79
5297,a,80
5253,a,81
5341,a,82
4827,a,83
4979,a,84
5029,a,85
5023,a,86
4740,a,87
4320,a,88
4859,a,89
5030,a,90
4955,a,91
4755,a,92
5405,a,93
4868,a,94
5906,a,95
5598,a,96
5083,a,97
4009,a,98
4982,a,99
5620,a,100
5899,a,101
6050,a,102
6333,a,103
6017,a,104
5720,a,105
5431,a,106
5753,a,107
6047,a,108
3700,a,109
4675,a,110
4292,a,111
4628,a,112
4446,a,113
4009,a,114
5516,a,115
5948,a,116
6840,a,117
6266,a,118
5942,a,119
5736,a,120
6145,a,121
6309,a,122
6322,a,123
6579,a,124
6210,a,125
6005,a,126
5637,a,127
5877,a,128
5967,a,129
6099,a,130
6023,a,131
5219,a,132
4170,a,133
3512,a,134
4363,a,135
5000,a,136
5058,a,137
4473,a,138
3630,a,139
3454,a,140
3156,a,141
2582,a,142
4636,a,143
4006,a,144
3485,a,145
3737,a,146
3786,a,147
3976,a,148
4087,a,149
4580,a,150
4880,a,151
5044,a,152
4571,a,153
3631,a,154
4135,a,155
3753,a,156
4481,a,157
3261,a,158
2133,a,159
3167,a,160
3760,a,161
4236,a,162
4580,a,163
4354,a,164
4555,a,165
4554,a,166
3159,a,167
3071,a,168
3104,a,169
3698,a,170
4203,a,171
4522,a,172
4796,a,173
2699,a,174
1742,a,175
3979,a,176
4409,a,177
4574,a,178
4853,a,179
5173,a,180
4553,a,181
4201,a,182
4038,a,183
4025,a,184
2827,a,185
2218,a,186
3309,a,187
3236,a,188
2578,a,189
3147,a,190
3356,a,191
2742,a,192
2167,a,193
3033,a,194
3357,a,195
3450,a,196
4156,a,197
2766,a,198
3879,a,199
4393,a,200
4918,a,201
4588,a,202
4350,a,203
4285,a,204
4399,a,205
4342,a,206
3663,a,207
4254,a,208
4041,a,209
2372,a,210
3331,a,211
3710,a,212
3500,a,213
4222,a,214
4627,a,215
4580,a,216
4235,a,217
4231,a,218
4479,a,219
4949,a,220
4766,a,221
3971,a,222
3891,a,223
3612,a,224
2800,a,225
3233,a,226
3830,a,227
3959,a,228
4276,a,229
3497,a,230
3758,a,231
4053,a,232
4413,a,233
4436,a,234
4985,a,235
5082,a,236
4292,a,237
3989,a,238
4600,a,239
4631,a,240
4812,a,241
5078,a,242
5052,a,243
4435,a,244
4770,a,245
4591,a,246
4639,a,247
5114,a,248
5511,a,249
6023,a,250
5764,a,251
5853,a,252
5109,a,253
5359,a,254
5404,a,255
5540,a,256
6248,a,257
6787,a,258
6717,a,259
5720,a,260
6375,a,261
6627,a,262
6693,a,263
6888,a,264
6060,a,265
4694,a,266
5083,a,267
5478,a,268
3325,a,269
4012,a,270
3969,a,271
3212,a,272
3737,a,273
1869,a,274
5224,a,275
5363,a,276
6164,a,277
7427,a,278
7510,a,279
6824,a,280
6312,a,281
6451,a,282
5842,a,283
4708,a,284
4718,a,285
5159,a,286
6061,a,287
6534,a,288
6795,a,289
6355,a,290
4423,a,291
7170,a,292
7680,a,293
7441,a,294
6740,a,295
7566,a,296
6401,a,297
6944,a,298
8185,a,299
7762,a,300
7336,a,301
6999,a,302
7430,a,303
8037,a,304
8731,a,305
8881,a,306
7714,a,307
3468,a,308
6270,a,309
7656,a,310
8442,a,311
8547,a,312
7504,a,313
7478,a,314
6666,a,315
7242,a,316
7923,a,317
8554,a,318
9040,a,319
9725,a,320
9696,a,321
9650,a,322
8320,a,323
9043,a,324
9283,a,325
9585,a,326
8194,a,327
8612,a,328
