DIA,Usos_bicis_abono_anual_,Usos_bicis_abono_ocasional_,Usos_bicis_total
1/1/18,3454,315,3769
2/1/18,6414,235,6649
3/1/18,7690,200,7890
4/1/18,8282,183,8465
5/1/18,5872,75,5947
6/1/18,1379,14,1393
7/1/18,2414,7,2421
8/1/18,7802,41,7843
9/1/18,5915,9,5924
10/1/18,7045,11,7056
11/1/18,8765,39,8804
12/1/18,9262,41,9303
13/1/18,4311,31,4342
14/1/18,5375,82,5457
15/1/18,8130,49,8179
16/1/18,9315,61,9376
17/1/18,9698,42,9740
18/1/18,10004,101,10105
19/1/18,10226,117,10343
20/1/18,7471,245,7716
21/1/18,7460,242,7702
22/1/18,9511,63,9574
23/1/18,10212,88,10300
24/1/18,10689,46,10735
25/1/18,6790,17,6807
26/1/18,9192,67,9259
27/1/18,6681,175,6856
28/1/18,6069,195,6264
29/1/18,9164,76,9240
30/1/18,9785,65,9850
31/1/18,10190,89,10279
1/2/18,9070,62,9132
2/2/18,8789,47,8836
3/2/18,6586,177,6763
4/2/18,2152,23,2175
5/2/18,2895,7,2902
6/2/18,7745,40,7785
7/2/18,8023,30,8053
8/2/18,8278,49,8327
9/2/18,8485,70,8555
10/2/18,6220,216,6436
11/2/18,6115,217,6332
12/2/18,8168,83,8251
13/2/18,8476,62,8538
14/2/18,9320,70,9390
15/2/18,9205,123,9328
16/2/18,9515,162,9677
17/2/18,7232,284,7516
18/2/18,6686,339,7025
19/2/18,9048,66,9114
20/2/18,9924,79,10003
21/2/18,9326,92,9418
22/2/18,9370,50,9420
23/2/18,9452,115,9567
24/2/18,6940,273,7213
25/2/18,6608,294,6902
26/2/18,9235,87,9322
27/2/18,4627,13,4640
28/2/18,3615,13,3628
1/3/18,3254,5,3259
2/3/18,3615,8,3623
3/3/18,4580,106,4686
4/3/18,5280,134,5414
5/3/18,6159,42,6201
6/3/18,7641,47,7688
7/3/18,9573,70,9643
8/3/18,9520,63,9583
9/3/18,4818,12,4830
10/3/18,3858,76,3934
11/3/18,4509,60,4569
12/3/18,8478,92,8570
