DIA,Usos bicis abono anual ,Usos bicis abono ocasional ,Usos bicis total,,Usos abono anual acumulado,Usos abono ocasional acumulado,Usos total acumulado desde inicio,,Acumulado mes total,,,,,,,,,,
23/06/2014,20,79,99,,20,79,99,,,,,,,,,,,,
24/06/2014,24,48,72,,44,127,171,,,,,,,,,,,,
25/06/2014,105,14,119,,149,141,290,,,,,,,,,,,,
26/06/2014,120,15,135,,269,156,425,,,,,,,,,,,,
27/06/2014,131,18,149,,400,174,574,,,,,,,,,,,,
28/06/2014,101,18,119,,501,192,693,,,,,,,,,,,,
29/06/2014,107,33,140,,608,225,833,,,,,,,,,,,,
30/06/2014,121,16,137,,729,241,970,,729,,,,,,,,,,
01/07/2014,126,6,132,,855,247,1.102,,,,,,,,,,,,
02/07/2014,128,2,130,,983,249,1.232,,,,,,,,,,,,
03/07/2014,85,7,92,,1.068,256,1.324,,,,,,,,,,,,
04/07/2014,121,4,125,,1.189,260,1.449,,,,,,,,,,,,
05/07/2014,783,3,786,,1.972,263,2.235,,,,,,,,,,,,
06/07/2014,1.230,5,1.235,,3.202,268,3.470,,,,,,,,,,,,
07/07/2014,1.324,3,1.327,,4.526,271,4.797,,,,,,,,,,,,
08/07/2014,1.774,6,1.780,,6.300,277,6.577,,,,,,,,,,,,
09/07/2014,1.874,8,1.882,,8.174,285,8.459,,,,,,,,,,,,
10/07/2014,2.266,7,2.273,,10.440,292,10.732,,,,,,,,,,,,
11/07/2014,2.212,2,2.214,,12.652,294,12.946,,,,,,,,,,,,
12/07/2014,1.949,4,1.953,,14.601,298,14.899,,,,,,,,,,,,
13/07/2014,1.792,2,1.794,,16.393,300,16.693,,,,,,,,,,,,
14/07/2014,2.311,3,2.314,,18.704,303,19.007,,,,,,,,,,,,
15/07/2014,2.537,2,2.539,,21.241,305,21.546,,,,,,,,,,,,
16/07/2014,2.673,7,2.680,,23.914,312,24.226,,,,,,,,,,,,
17/07/2014,2.651,8,2.659,,26.565,320,26.885,,,,,,,,,,,,
18/07/2014,2.547,5,2.552,,29.112,325,29.437,,,,,,,,,,,,
19/07/2014,2.359,2,2.361,,31.471,327,31.798,,,,,,,,,,,,
20/07/2014,2.371,2,2.373,,33.842,329,34.171,,,,,,,,,,,,
21/07/2014,2.676,3,2.679,,36.518,332,36.850,,,,,,,,,,,,
22/07/2014,2.935,4,2.939,,39.453,336,39.789,,,,,,,,,,,,
23/07/2014,2.927,5,2.932,,42.380,341,42.721,,,,,,,,,,,,
24/07/2014,3.204,9,3.213,,45.584,350,45.934,,,,,,,,,,,,
25/07/2014,3.084,2,3.086,,48.668,352,49.020,,,,,,,,,,,,
26/07/2014,2.467,0,2.467,,51.135,352,51.487,,,,,,,,,,,,
27/07/2014,2.321,0,2.321,,53.456,352,53.808,,,,,,,,,,,,
28/07/2014,2.894,4,2.898,,56.350,356,56.706,,,,,,,,,,,,
29/07/2014,3.168,3,3.171,,59.518,359,59.877,,,,,,,,,,,,
30/07/2014,3.238,5,3.243,,62.756,364,63.120,,,,,,,,,,,,
31/07/2014,3.365,5,3.370,,66.121,369,66.490,,65.392,,,,,,,,,,
01/08/2014,3.048,6,3.054,,69.169,375,69.544,,,,,,,,,,,,
02/08/2014,2.533,1,2.534,,71.702,376,72.078,,,,,,,,,,,,
03/08/2014,2.624,0,2.624,,74.326,376,74.702,,,,,,,,,,,,
04/08/2014,2.813,4,2.817,,77.139,380,77.519,,,,,,,,,,,,
05/08/2014,2.830,6,2.836,,79.969,386,80.355,,,,,,,,,,,,
06/08/2014,3.054,6,3.060,,83.023,392,83.415,,,,,,,,,,,,
07/08/2014,2.967,5,2.972,,85.990,397,86.387,,,,,,,,,,,,
08/08/2014,2.907,9,2.916,,88.897,406,89.303,,,,,,,,,,,,
09/08/2014,2.582,0,2.582,,91.479,406,91.885,,,,,,,,,,,,
10/08/2014,2.687,1,2.688,,94.166,407,94.573,,,,,,,,,,,,
11/08/2014,2.900,2,2.902,,97.066,409,97.475,,,,,,,,,,,,
12/08/2014,3.008,3,3.011,,100.074,412,100.486,,,,,,,,,,,,
13/08/2014,3.102,9,3.111,,103.176,421,103.597,,,,,,,,,,,,
14/08/2014,2.791,3,2.794,,105.967,424,106.391,,,,,,,,,,,,
15/08/2014,2.392,0,2.392,,108.359,424,108.783,,,,,,,,,,,,
16/08/2014,2.254,0,2.254,,110.613,424,111.037,,,,,,,,,,,,
17/08/2014,2.444,3,2.447,,113.057,427,113.484,,,,,,,,,,,,
18/08/2014,2.945,5,2.950,,116.002,432,116.434,,,,,,,,,,,,
19/08/2014,3.155,5,3.160,,119.157,437,119.594,,,,,,,,,,,,
20/08/2014,3.358,0,3.358,,122.515,437,122.952,,,,,,,,,,,,
21/08/2014,3.678,4,3.682,,126.193,441,126.634,,,,,,,,,,,,
22/08/2014,3.419,0,3.419,,129.612,441,130.053,,,,,,,,,,,,
23/08/2014,3.158,0,3.158,,132.770,441,133.211,,,,,,,,,,,,
24/08/2014,3.421,1,3.422,,136.191,442,136.633,,,,,,,,,,,,
25/08/2014,3.556,3,3.559,,139.747,445,140.192,,,,,,,,,,,,
26/08/2014,3.992,1,3.993,,143.739,446,144.185,,,,,,,,,,,,
