DIA,Usos_bicis_abono_anual_,Usos_bicis_abono_ocasional_,Usos_bicis_total
23/6/14,20,79,99
24/6/14,24,48,72
25/6/14,105,14,119
26/6/14,120,15,135
27/6/14,131,18,149
28/6/14,101,18,119
29/6/14,107,33,140
30/6/14,121,16,137
1/7/14,126,6,132
2/7/14,128,2,130
3/7/14,85,7,92
4/7/14,121,4,125
5/7/14,783,3,786
6/7/14,1.230,5,1.235
7/7/14,1.324,3,1.327
8/7/14,1.774,6,1.780
9/7/14,1.874,8,1.882
10/7/14,2.266,7,2.273
11/7/14,2.212,2,2.214
12/7/14,1.949,4,1.953
13/7/14,1.792,2,1.794
14/7/14,2.311,3,2.314
15/7/14,2.537,2,2.539
16/7/14,2.673,7,2.680
17/7/14,2.651,8,2.659
18/7/14,2.547,5,2.552
19/7/14,2.359,2,2.361
20/7/14,2.371,2,2.373
21/7/14,2.676,3,2.679
22/7/14,2.935,4,2.939
23/7/14,2.927,5,2.932
24/7/14,3.204,9,3.213
25/7/14,3.084,2,3.086
26/7/14,2.467,0,2.467
27/7/14,2.321,0,2.321
28/7/14,2.894,4,2.898
29/7/14,3.168,3,3.171
30/7/14,3.238,5,3.243
31/7/14,3.365,5,3.370
1/8/14,3.048,6,3.054
2/8/14,2.533,1,2.534
3/8/14,2.624,0,2.624
4/8/14,2.813,4,2.817
5/8/14,2.830,6,2.836
6/8/14,3.054,6,3.060
7/8/14,2.967,5,2.972
8/8/14,2.907,9,2.916
9/8/14,2.582,0,2.582
10/8/14,2.687,1,2.688
11/8/14,2.900,2,2.902
12/8/14,3.008,3,3.011
13/8/14,3.102,9,3.111
14/8/14,2.791,3,2.794
15/8/14,2.392,0,2.392
16/8/14,2.254,0,2.254
17/8/14,2.444,3,2.447
18/8/14,2.945,5,2.950
19/8/14,3.155,5,3.160
20/8/14,3.358,0,3.358
21/8/14,3.678,4,3.682
22/8/14,3.419,0,3.419
23/8/14,3.158,0,3.158
24/8/14,3.421,1,3.422
25/8/14,3.556,3,3.559
26/8/14,3.992,1,3.993
27/8/14,4.008,2,4.010
28/8/14,4.125,6,4.131
29/8/14,4.255,5,4.260
30/8/14,4.002,1,4.003
31/8/14,4.323,0,4.323
1/9/14,4.292,7,4.299
2/9/14,4.608,8,4.616
3/9/14,5.163,8,5.171
4/9/14,5.334,5,5.339
5/9/14,4.957,1,4.958
6/9/14,4.791,1,4.792
7/9/14,4.724,1,4.725
8/9/14,4.917,3,4.920
9/9/14,5.209,6,5.215
10/9/14,5.297,0,5.297
11/9/14,5.246,7,5.253
12/9/14,5.340,1,5.341
13/9/14,4.827,0,4.827
14/9/14,4.978,1,4.979
15/9/14,5.022,7,5.029
16/9/14,5.021,2,5.023
17/9/14,4.739,1,4.740
18/9/14,4.319,1,4.320
19/9/14,4.858,1,4.859
20/9/14,5.028,2,5.030
21/9/14,4.955,0,4.955
22/9/14,4.750,5,4.755
23/9/14,5.403,2,5.405
24/9/14,4.867,1,4.868
25/9/14,5.904,2,5.906
26/9/14,5.595,3,5.598
27/9/14,5.083,0,5.083
28/9/14,4.008,1,4.009
29/9/14,4.976,6,4.982
30/9/14,5.616,4,5.620
1/10/14,5.894,5,5.899
2/10/14,6.050,0,6.050
3/10/14,6.325,8,6.333
4/10/14,6.017,0,6.017
5/10/14,5.720,0,5.720
6/10/14,5.427,4,5.431
7/10/14,5.751,2,5.753
8/10/14,6.037,10,6.047
9/10/14,3.697,3,3.700
10/10/14,4.669,6,4.675
11/10/14,4.292,0,4.292
12/10/14,4.625,3,4.628
13/10/14,4.443,3,4.446
14/10/14,4.009,0,4.009
15/10/14,5.513,3,5.516
16/10/14,5.946,2,5.948
17/10/14,6.839,1,6.840
18/10/14,6.265,1,6.266
19/10/14,5.941,1,5.942
20/10/14,5.732,4,5.736
21/10/14,6.145,0,6.145
22/10/14,6.309,0,6.309
23/10/14,6.321,1,6.322
24/10/14,6.575,4,6.579
25/10/14,6.209,1,6.210
26/10/14,6.004,1,6.005
27/10/14,5.635,2,5.637
28/10/14,5.873,4,5.877
29/10/14,5.967,0,5.967
30/10/14,6.099,0,6.099
31/10/14,6.021,2,6.023
1/11/14,5.219,0,5.219
2/11/14,4.170,0,4.170
3/11/14,3.509,3,3.512
4/11/14,4.361,2,4.363
5/11/14,4.998,2,5.000
6/11/14,5.057,1,5.058
7/11/14,4.471,2,4.473
8/11/14,3.629,1,3.630
9/11/14,3.453,1,3.454
10/11/14,3.156,0,3.156
11/11/14,2.578,4,2.582
12/11/14,4.628,8,4.636
13/11/14,4.003,3,4.006
14/11/14,3.485,0,3.485
15/11/14,3.737,0,3.737
16/11/14,3.786,0,3.786
17/11/14,3.971,5,3.976
18/11/14,4.086,1,4.087
19/11/14,4.578,2,4.580
20/11/14,4.878,2,4.880
21/11/14,5.042,2,5.044
22/11/14,4.567,4,4.571
23/11/14,3.629,2,3.631
24/11/14,4.131,4,4.135
25/11/14,3.753,0,3.753
26/11/14,4.476,5,4.481
27/11/14,3.261,0,3.261
28/11/14,2.133,0,2.133
29/11/14,3.137,30,3.167
30/11/14,3.703,57,3.760
1/12/14,4.225,11,4.236
2/12/14,4.573,7,4.580
3/12/14,4.350,4,4.354
4/12/14,4.546,9,4.555
5/12/14,4.533,21,4.554
6/12/14,3.114,45,3.159
7/12/14,2.986,85,3.071
8/12/14,3.045,59,3.104
9/12/14,3.673,25,3.698
10/12/14,4.189,14,4.203
11/12/14,4.490,32,4.522
12/12/14,4.761,35,4.796
13/12/14,2.676,23,2.699
14/12/14,1.740,2,1.742
15/12/14,3.960,19,3.979
16/12/14,4.378,31,4.409
17/12/14,4.547,27,4.574
18/12/14,4.828,25,4.853
19/12/14,5.126,47,5.173
20/12/14,4.454,99,4.553
21/12/14,4.027,174,4.201
22/12/14,3.962,76,4.038
23/12/14,3.960,65,4.025
24/12/14,2.765,62,2.827
25/12/14,2.073,145,2.218
26/12/14,3.171,138,3.309
27/12/14,3.079,157,3.236
28/12/14,2.471,107,2.578
29/12/14,3.060,87,3.147
30/12/14,3.262,94,3.356
31/12/14,2.609,133,2.742
1/1/15,2.018,149,2.167
2/1/15,2.880,153,3.033
3/1/15,3.187,170,3.357
4/1/15,3.296,154,3.450
5/1/15,4.039,117,4.156
6/1/15,2.651,115,2.766
7/1/15,3.821,58,3.879
8/1/15,4.333,60,4.393
9/1/15,4.832,86,4.918
10/1/15,4.494,94,4.588
11/1/15,4.209,141,4.350
12/1/15,4.241,44,4.285
13/1/15,4.365,34,4.399
14/1/15,4.319,23,4.342
15/1/15,3.637,26,3.663
16/1/15,4.236,18,4.254
17/1/15,3.930,111,4.041
18/1/15,2.323,49,2.372
19/1/15,3.309,22,3.331
20/1/15,3.698,12,3.710
21/1/15,3.473,27,3.500
22/1/15,4.202,20,4.222
23/1/15,4.601,26,4.627
24/1/15,4.473,107,4.580
25/1/15,4.085,150,4.235
26/1/15,4.172,59,4.231
27/1/15,4.451,28,4.479
28/1/15,4.911,38,4.949
29/1/15,4.745,21,4.766
30/1/15,3.938,33,3.971
31/1/15,3.831,60,3.891
1/2/15,3.487,125,3.612
2/2/15,2.786,14,2.800
3/2/15,3.182,51,3.233
